No,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,no_segmen,segmen,hari,volume_lalu_lintas,satuan,tahun
76,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - SIMPANG WARUNG JAMBU",HARI KERJA,85500,SMP/JAM,2015
77,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  NARKOBA (BORR) - SIMPANG TALANG",HARI KERJA,2456.5,SMP/JAM,2015
78,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  TALANG - SIMPANG NARKOBA (BORR)",HARI KERJA,2456.5,SMP/JAM,2015
79,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  TALANG - SIMPANG POMAD",HARI KERJA,1754.7,SMP/JAM,2015
80,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  POMAD - SIMPANG TALANG",HARI KERJA,1754.7,SMP/JAM,2015
81,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  POMAD - SIMPANG CILUAR (BATAS KOTA)",HARI KERJA,1598.8,SMP/JAM,2015
82,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  CILUAR (BATAS KOTA) - SIMPANG POMAD",HARI KERJA,1598.8,SMP/JAM,2015
83,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - UNDERPASS",HARI LIBUR,956.8,SMP/JAM,2015
84,32,JAWA BARAT,3271,KOTA BOGOR,1,"UNDERPASS
  - SIMPANG NARKOBA (BORR)",HARI LIBUR,895.8,SMP/JAM,2015
85,32,JAWA BARAT,3271,KOTA BOGOR,2,"UNDERPASS
  - SIMPANG YASMIN",HARI LIBUR,2183.6,SMP/JAM,2015
86,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  YASMIN - UNDERPASS",HARI LIBUR,2183.6,SMP/JAM,2015
87,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  YASMIN - SIMPANG KAYU MANIS",HARI LIBUR,1598.8,SMP/JAM,2015
88,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  KAYU MANIS - SIMPANG YASMIN",HARI LIBUR,1598.8,SMP/JAM,2015
89,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  KAYU MANIS - SALABENDA (BATAS KOTA)",HARI LIBUR,1520.8,SMP/JAM,2015
90,32,JAWA BARAT,3271,KOTA BOGOR,4,"SALABENDA
  (BATAS KOTA) - SIMPANG KAYU MANIS",HARI LIBUR,1520.8,SMP/JAM,2015
91,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  WARUNG JAMBU - SIMPANG NARKOBA (BORR)",HARI KERJA,1499.62,SMP/JAM,2016
92,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - SIMPANG WARUNG JAMBU",HARI KERJA,1205.55,SMP/JAM,2016
